Date : 2025-06-25 08:54:07
Directory : c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend
Total : 523 files,  -67138 codes, -5266 comments, -17308 blanks, all -89712 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\dual_track_config.json                                                                     | JSON               |        -17 |          0 |          0 |        -17 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\dual_track_fix_test_report.json                                                            | JSON               |        -13 |          0 |          0 |        -13 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\dump_drawing3_data.py                                                                      | Python             |        -39 |         -3 |        -12 |        -54 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\enhanced_dual_track_demo.py                                                                | Python             |       -347 |        -24 |        -63 |       -434 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\enhanced_ocr_parser.py                                                                     | Python             |       -335 |        -24 |        -60 |       -419 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\final_simple_test.py                                                                       | Python             |        -55 |         -1 |        -13 |        -69 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\find_ocr_texts.py                                                                          | Python             |        -28 |         -2 |         -7 |        -37 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\fix_ocr_cache_method.py                                                                    | Python             |        -30 |         -6 |        -10 |        -46 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\fix_processing_result_s3_url.py                                                            | Python             |        -57 |         -6 |         -2 |        -65 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\fix_processing_result_structure.py                                                         | Python             |        -43 |         -3 |         -2 |        -48 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\fix_vision_component_data_loss.py                                                          | Python             |        -66 |        -11 |        -15 |        -92 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\fix_vision_data_loss.py                                                                    | Python             |        -50 |         -9 |        -10 |        -69 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\fix_vision_duplicate_analysis.py                                                           | Python             |       -154 |        -22 |        -47 |       -223 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\fix_vision_merger_complete.py                                                              | Python             |       -299 |        -30 |        -71 |       -400 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\fix_vision_result_merger_critical.py                                                       | Python             |       -289 |        -27 |        -74 |       -390 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\force_dual_track.py                                                                        | Python             |       -121 |        -14 |        -36 |       -171 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\init_db.py                                                                                 | Python             |         -8 |          0 |         -2 |        -10 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\init_db_and_data.py                                                                        | Python             |       -196 |        -14 |        -19 |       -229 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\init_test_user.py                                                                          | Python             |        -27 |         -4 |         -5 |        -36 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\install_cloud_storage_deps.ps1                                                             | PowerShell         |       -110 |         -7 |        -20 |       -137 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\integration_guide_enhanced_merger.py                                                       | Python             |       -293 |        -30 |        -76 |       -399 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\integration_summary.json                                                                   | JSON               |       -219 |          0 |          0 |       -219 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\issue_resolution_report.md                                                                 | Markdown           |        -89 |          0 |        -25 |       -114 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\ocr_optimization_suggestions.py                                                            | Python             |       -179 |        -23 |        -51 |       -253 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\ocr_result.md                                                                              | Markdown           |       -112 |          0 |        -12 |       -124 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\optimization_summary.json                                                                  | JSON               |        -22 |          0 |          0 |        -22 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\optimization_test_report.json                                                              | JSON               |        -17 |          0 |          0 |        -17 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\output\sample_floorplan\complete_results.json                                              | JSON               |       -723 |          0 |          0 |       -723 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\output\sample_floorplan\comprehensive_report.json                                          | JSON               |        -35 |          0 |          0 |        -35 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\output\sample_floorplan\quantity_list.json                                                 | JSON               |       -112 |          0 |          0 |       -112 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\paddle_ocr_test_result.json                                                                | JSON               |        -55 |          0 |          0 |        -55 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\paddleocr_enhanced_merger.py                                                               | Python             |       -418 |        -48 |       -121 |       -587 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\parse_ocr_results.py                                                                       | Python             |       -236 |        -11 |        -47 |       -294 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\query_db.py                                                                                | Python             |        -41 |         -4 |        -11 |        -56 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\quick_celery_test.py                                                                       | Python             |        -45 |         -5 |        -13 |        -63 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\quick_test_batch_fix.py                                                                    | Python             |        -54 |         -4 |        -11 |        -69 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\requirements.txt                                                                           | pip requirements   |        -36 |        -14 |        -14 |        -64 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\restart_celery.py                                                                          | Python             |        -31 |         -3 |         -5 |        -39 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\retry_failed_drawings.py                                                                   | Python             |        -81 |         -8 |        -24 |       -113 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\setup_cloud_storage.py                                                                     | Python             |       -238 |        -40 |        -63 |       -341 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\setup_gpt4o.py                                                                             | Python             |       -204 |        -19 |        -54 |       -277 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\simple_image_check.py                                                                      | Python             |        -74 |         -6 |        -18 |        -98 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\simple_query.py                                                                            | Python             |        -34 |         -5 |         -9 |        -48 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\simple_test_optimized.py                                                                   | Python             |       -226 |        -12 |        -61 |       -299 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\simple_text_test.py                                                                        | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\slice_reuse_test.py                                                                        | Python             |       -100 |        -14 |        -29 |       -143 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\start_8000_server.ps1                                                                      | PowerShell         |        -32 |         -5 |         -4 |        -41 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\start_backend.bat                                                                          | Batch              |        -13 |          0 |         -4 |        -17 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\start_celery.bat                                                                           | Batch              |        -38 |         -7 |         -9 |        -54 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\start_celery.ps1                                                                           | PowerShell         |        -32 |         -6 |         -6 |        -44 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\start_celery_optimized.ps1                                                                 | PowerShell         |        -37 |        -10 |         -8 |        -55 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\start_redis.bat                                                                            | Batch              |        -37 |         -4 |         -6 |        -47 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\start_service_debug.py                                                                     | Python             |       -112 |        -14 |        -24 |       -150 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\start_system.py                                                                            | Python             |       -187 |        -18 |        -46 |       -251 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\stop_celery.ps1                                                                            | PowerShell         |        -45 |         -3 |        -12 |        -60 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\storage\sealos_fallback\ocr_results\5\analyzed_result.json                                 | JSON               |        -15 |          0 |          0 |        -15 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\storage\sealos_fallback\ocr_results\6\analyzed_result.json                                 | JSON               |        -15 |          0 |          0 |        -15 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\storage\sealos_fallback\slices\test_task_001\metadata.json                                 | JSON               |       -120 |          0 |          0 |       -120 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\system_status_check.py                                                                     | Python             |       -163 |         -9 |        -29 |       -201 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\system_status_report.py                                                                    | Python             |       -207 |        -16 |        -57 |       -280 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_all_fixes.py                                                                          | Python             |       -124 |        -15 |        -38 |       -177 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_api.py                                                                                | Python             |        -29 |         -3 |         -9 |        -41 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_api_endpoints.py                                                                      | Python             |        -50 |         -6 |         -9 |        -65 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_api_id3.py                                                                            | Python             |        -31 |         -2 |         -8 |        -41 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_api_interfaces.py                                                                     | Python             |       -294 |        -19 |        -44 |       -357 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_api_response.py                                                                       | Python             |       -112 |        -14 |        -27 |       -153 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_authenticated_api.py                                                                  | Python             |        -70 |        -10 |        -15 |        -95 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_batch_slice_fix.py                                                                    | Python             |        -94 |         -9 |        -24 |       -127 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_celery_integration.py                                                                 | Python             |       -104 |        -12 |        -34 |       -150 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_celery_simple.py                                                                      | Python             |        -76 |        -13 |        -25 |       -114 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_celery_task.py                                                                        | Python             |        -26 |         -4 |         -7 |        -37 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_complete_fix_verification.py                                                          | Python             |       -289 |        -22 |        -62 |       -373 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_complete_ocr_correction_workflow.py                                                   | Python             |       -263 |        -22 |        -51 |       -336 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_contextual_slice_analysis.py                                                          | Python             |       -104 |        -10 |        -27 |       -141 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_drawing_tasks_refactor.py                                                             | Python             |       -135 |        -12 |        -35 |       -182 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_dual_storage_download.py                                                              | Python             |        -81 |        -10 |        -26 |       -117 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_dual_track_analysis.py                                                                | Python             |       -206 |        -27 |        -52 |       -285 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_enhanced_merger_result.json                                                           | JSON               |       -652 |          0 |          0 |       -652 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_enhanced_paddleocr_merger.py                                                          | Python             |       -215 |        -27 |        -45 |       -287 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_fallback_strategy.py                                                                  | Python             |       -275 |        -22 |        -56 |       -353 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_fixes.py                                                                              | Python             |       -113 |         -7 |        -21 |       -141 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_fixes_verification.py                                                                 | Python             |       -111 |        -10 |        -28 |       -149 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_frontend_api.py                                                                       | Python             |       -198 |        -14 |        -28 |       -240 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_frontend_api_call.py                                                                  | Python             |       -107 |         -7 |        -18 |       -132 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_frontend_data.py                                                                      | Python             |       -102 |        -11 |        -17 |       -130 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_frontend_data_flow.py                                                                 | Python             |        -96 |         -2 |         -9 |       -107 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_grid_slice_analysis.py                                                                | Python             |       -232 |        -36 |        -66 |       -334 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_grid_slice_refactor.py                                                                | Python             |       -137 |        -13 |        -36 |       -186 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_new_architecture.py                                                                   | Python             |       -268 |        -20 |        -70 |       -358 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_ocr_correction_feature.py                                                             | Python             |       -209 |        -21 |        -43 |       -273 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_ocr_slicing.py                                                                        | Python             |       -287 |        -42 |        -81 |       -410 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_openai_connection.py                                                                  | Python             |        -91 |         -8 |        -24 |       -123 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_optimizations_complete.py                                                             | Python             |       -288 |        -42 |        -97 |       -427 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_optimized_output\test_task_1750597463_exports\test_task_1750597463_quantity_list.json | JSON               |        -89 |          0 |          0 |        -89 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_optimized_output\test_task_1750597463_test_report.json                                | JSON               |        -26 |          0 |          0 |        -26 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_optimized_system.py                                                                   | Python             |       -369 |        -26 |        -89 |       -484 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_output\optimization_test_report.json                                                  | JSON               |       -324 |          0 |          0 |       -324 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_query.py                                                                              | Python             |        -43 |         -3 |         -8 |        -54 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_redis_connection.py                                                                   | Python             |        -90 |         -7 |        -17 |       -114 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_result_mergers.py                                                                     | Python             |       -305 |        -13 |        -45 |       -363 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_simple_api.py                                                                         | Python             |       -117 |         -8 |        -21 |       -146 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_slice_reuse_fix.py                                                                    | Python             |       -159 |        -23 |        -40 |       -222 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_syntax_fix.py                                                                         | Python             |        -43 |         -2 |         -9 |        -54 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_three_fixes_verification.py                                                           | Python             |       -121 |        -14 |        -32 |       -167 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_vision_duplicate_fix.py                                                               | Python             |       -152 |        -20 |        -48 |       -220 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_vision_merger_fix.py                                                                  | Python             |       -233 |        -11 |        -36 |       -280 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_websocket_complete.py                                                                 | Python             |        -52 |         -6 |        -21 |        -79 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_websocket_manager.py                                                                  | Python             |       -203 |        -23 |        -66 |       -292 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_websocket_stability.py                                                                | Python             |       -148 |        -14 |        -34 |       -196 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\test_xml_format_fix.py                                                                     | Python             |       -118 |        -17 |        -25 |       -160 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\tests\__init__.py                                                                          | Python             |        -20 |         -3 |         -5 |        -28 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\tests\conftest.py                                                                          | Python             |       -145 |        -14 |        -34 |       -193 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\tests\integration\test_drawing_processing.py                                               | Python             |       -206 |        -18 |        -70 |       -294 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\tests\performance\test_performance.py                                                      | Python             |       -242 |        -41 |        -96 |       -379 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\tests\unit\test_component_detector.py                                                      | Python             |       -229 |        -10 |        -74 |       -313 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\update_s3_info.py                                                                          | Python             |        -60 |         -7 |        -15 |        -82 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\upgrade_to_real_ai.bat                                                                     | Batch              |        -24 |          0 |         -6 |        -30 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\verify_abc_conversion.py                                                                   | Python             |        -18 |         -1 |         -5 |        -24 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\verify_b_stage_cleanup.py                                                                  | Python             |          0 |          0 |         -1 |         -1 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\verify_data.py                                                                             | Python             |        -22 |         -2 |         -7 |        -31 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\verify_model_config.py                                                                     | Python             |       -142 |         -8 |        -37 |       -187 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\verify_routes_new.py                                                                       | Python             |        -56 |         -5 |        -15 |        -76 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\verify_sealos_integration.py                                                               | Python             |       -171 |         -7 |        -47 |       -225 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\verify_txt_display.py                                                                      | Python             |       -105 |         -9 |        -15 |       -129 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\vision_scanner_enhancement_proposal.py                                                     | Python             |       -671 |        -84 |       -178 |       -933 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\专业工程量分析报告.md                                                                               | Markdown           |       -153 |          0 |        -47 |       -200 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\五大文件重构完成报告.md                                                                              | Markdown           |       -194 |          0 |        -54 |       -248 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\五步分析迁移指南.md                                                                                | Markdown           |        -60 |          0 |        -15 |        -75 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\优化后系统Step1到Step6完整流程详解.md                                                                  | Markdown           |       -697 |          0 |       -143 |       -840 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\优化实施完成报告.md                                                                                | Markdown           |       -246 |          0 |        -73 |       -319 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\修改总结.md                                                                                    | Markdown           |       -119 |          0 |        -26 |       -145 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\切片后五步连续会话适配方案.md                                                                           | Markdown           |       -251 |          0 |        -70 |       -321 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\双轨协同两个输出点实现完成报告.md                                                                         | Markdown           |       -257 |          0 |        -50 |       -307 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\双轨协同两层OCR增强机制实现完成报告.md                                                                     | Markdown           |       -168 |          0 |        -47 |       -215 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\双轨协同输出点显示修复完成报告.md                                                                         | Markdown           |       -135 |          0 |        -32 |       -167 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\双轨数据Sealos存储功能部署完成报告.md                                                                    | Markdown           |       -190 |          0 |        -45 |       -235 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\坐标转换服务初始化问题修复完成报告.md                                                                       | Markdown           |       -168 |          0 |        -43 |       -211 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\工程量智能计算系统设计方案.md                                                                           | Markdown           |       -301 |          0 |        -71 |       -372 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\并行处理机制分析报告.md                                                                              | Markdown           |       -107 |          0 |        -35 |       -142 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\建筑结构图纸OCR识别结果_详细报告.md                                                                      | Markdown           |          0 |          0 |         -1 |         -1 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\快速部署YOLOv8x指南.md                                                                           | Markdown           |       -160 |          0 |        -38 |       -198 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\新OCR架构说明.md                                                                                | Markdown           |       -324 |          0 |        -89 |       -413 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\新架构启动指南.md                                                                                 | Markdown           |       -163 |          0 |        -50 |       -213 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\智能切片OCR快速启动指南.md                                                                           | Markdown           |       -174 |          0 |        -49 |       -223 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\智能切片OCR集成修复完成报告.md                                                                         | Markdown           |       -130 |          0 |        -35 |       -165 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\智能切片OCR集成说明.md                                                                             | Markdown           |       -210 |          0 |        -55 |       -265 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\智能切片Vision分析模块使用说明.md                                                                      | Markdown           |       -253 |          0 |        -66 |       -319 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\智能切片降级处理策略详解.md                                                                            | Markdown           |       -442 |          0 |        -79 |       -521 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\智能切片降级策略实现完成报告.md                                                                          | Markdown           |          0 |          0 |         -1 |         -1 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\智能工程量计算系统使用说明.md                                                                           | Markdown           |       -333 |          0 |        -79 |       -412 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\智能工程量计算系统修复完成报告.md                                                                         | Markdown           |       -127 |          0 |        -43 |       -170 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\构件识别功能实现总结.md                                                                              | Markdown           |       -163 |          0 |        -51 |       -214 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\构件识别导向Vision分析升级完成报告.md                                                                    | Markdown           |       -274 |          0 |        -56 |       -330 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\核心数据结构设计说明.md                                                                              | Markdown           |       -364 |          0 |        -98 |       -462 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\系统Step1到Step6完整流程优化方案.md                                                                   | Markdown           |       -434 |          0 |        -94 |       -528 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\系统Step1到Step6完整流程详解.md                                                                     | Markdown           |     -1,944 |          0 |          0 |     -1,944 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\系统关键问题修复完成报告.md                                                                            | Markdown           |       -211 |          0 |        -65 |       -276 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\系统完整状态总结.md                                                                                | Markdown           |       -244 |          0 |        -62 |       -306 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\轨道1_OCR汇总结果保存位置详解.md                                                                       | Markdown           |       -147 |          0 |        -33 |       -180 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\重构方案.md                                                                                    | Markdown           |       -235 |          0 |        -40 |       -275 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\错误修复完成报告.md                                                                                | Markdown           |       -108 |          0 |        -38 |       -146 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\问题修复完成报告_v3.md                                                                             | Markdown           |        -58 |          0 |        -19 |        -77 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\降级策略集成指南.md                                                                                | Markdown           |       -502 |          0 |        -86 |       -588 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\backend\项目总结报告.md                                                                                  | Markdown           |       -237 |          0 |        -60 |       -297 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\components\TaskProgressMonitor.tsx                                                        | TypeScript JSX     |        285 |          6 |         22 |        313 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\debug_instructions.md                                                                     | Markdown           |         53 |          0 |         18 |         71 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\next-env.d.ts                                                                             | TypeScript         |          0 |          5 |          2 |          7 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\next.config.js                                                                            | JavaScript         |         26 |          3 |          3 |         32 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\package-lock.json                                                                         | JSON               |      7,808 |          0 |          1 |      7,809 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\package.json                                                                              | JSON               |         68 |          0 |          1 |         69 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\postcss.config.js                                                                         | JavaScript         |          6 |          0 |          0 |          6 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\public\apple-touch-icon.svg                                                               | XML                |         12 |          0 |          0 |         12 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\public\favicon.svg                                                                        | XML                |         17 |          7 |          5 |         29 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\App.tsx                                                                               | TypeScript JSX     |         29 |          0 |          3 |         32 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\DrawingDetail.tsx                                                          | TypeScript JSX     |        115 |          9 |         12 |        136 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\DrawingInfo.tsx                                                            | TypeScript JSX     |         47 |          0 |          3 |         50 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\DrawingList.tsx                                                            | TypeScript JSX     |        166 |          0 |         13 |        179 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\DrawingUpload.tsx                                                          | TypeScript JSX     |        108 |          0 |         13 |        121 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\EnhancedAnalysis.tsx                                                       | TypeScript JSX     |        359 |          6 |         27 |        392 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\ErrorBoundary.tsx                                                          | TypeScript JSX     |         47 |          2 |          9 |         58 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\Layout.tsx                                                                 | TypeScript JSX     |        120 |          3 |         10 |        133 |
| c:\Users\86139\Desktop\appdevelopment\smart-qto-system\frontend\src\components\Navigation.tsx                                                             | TypeScript JSX     |         65 |          0 |          6 |         71 |
